iter,kind,phase,file,line,sig,raw
1,double-to-dd,correctness,B2m.h,64,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
2,double-to-dd,correctness,B0m.h,69,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
3,double-to-dd,correctness,B1m.h,62,duplicate_qualifier,duplicate ‘inline’
4,double-to-dd,correctness,B1m.h,63,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
7,double-to-dd,correctness,B4m.h,163,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
9,double-to-dd,correctness,B2m.h,84,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
10,double-to-dd,correctness,B4m.h,233,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
11,double-to-dd,correctness,B0m.h,68,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
13,double-to-dd,correctness,B3m.h,177,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
15,double-to-dd,correctness,B2m.h,400,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
16,double-to-dd,correctness,B2m.h,493,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
20,double-to-dd,correctness,kokkosUtils.h,672,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
23,double-to-dd,correctness,B3m.h,183,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
31,double-to-dd,correctness,kokkosUtils.h,212,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
33,double-to-dd,correctness,B4m.h,195,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
34,double-to-dd,correctness,kokkosUtils.h,753,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
36,double-to-dd,correctness,kokkosUtils.h,183,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
37,double-to-dd,correctness,B4m.h,192,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
38,double-to-dd,correctness,B4m.h,198,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
40,double-to-dd,correctness,B2m.h,355,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
42,double-to-dd,correctness,B1m.h,134,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
48,double-to-dd,correctness,B1m.h,241,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
56,double-to-dd,correctness,B1m.h,204,redefinition_Constants_specialization,redefinition of ‘struct ql::Constants<quad::ddfun::ddouble>’
58,double-to-dd,correctness,B3m.h,105,other:template-id ‘Real<quad::ddfun::ddouble>’,template-id ‘Real<quad::ddfun::ddouble>’ for ‘quad::ddfun::ddouble ql::Real()’ does not match any template declaration
59,double-to-dd,correctness,B4m.h,184,R4_constant_derivation_escape,"#error ""DD Regional Integrator: ql::cLn requires manual classification"""
